,item,title,year,genres,plot,vote_count,avg_rating
1218,2723,mystery men,1999,Action|Comedy|Fantasy,"In Champion City, would-be superhero team of Mr. Furious, the Shoveler, and the Blue Raja attempt to make a name for themselves, but their suspect skills make them ineffective, and they find themselves upstaged by the city's most successful superhero, Captain Amazing. However, Amazing is finding that his effectiveness at fighting crime has practically made his job obsolete, and without any worthy adversaries remaining (most are either dead, in exile, or in jail), his corporate sponsors are beginning to pull their funding.
To create a need for himself, Amazing uses his alter ego, billionaire lawyer Lance Hunt, to argue for the release of supervillain Casanova Frankenstein. The plan backfires; once reunited with Tony P and his Disco Boys, Casanova Frankenstein blows up the insane asylum, captures Amazing, and prepares to unleash the ""Psycho-frakulator"", which lethally bends reality. Mr. Furious, while spying on Casanova Frankenstein's mansion, discovers Amazing's capture and informs the others.
After an unsuccessful rescue attempt, the three realize they need more allies, and through word-of-mouth and try-outs, they recruit Invisible Boy, the Spleen, and the Bowler. The newly formed team ""assaults"" Casanova, which only succeeds in annoying him and damaging his car. While drunk from celebrating their victory, the team is nearly killed in retaliation by Tony P and the Disco Boys, but they are saved at the last minute by the Sphinx. The Sphinx trains them, but his methods annoy Mr. Furious – he has them complete rote team-building exercises and speaks exclusively in Chiasmus. They also seek out Doc Heller, who specializes in non-lethal weaponry, to equip them for their battle.
The group breaks into Casanova's mansion during a gathering of several of the city's gangs; but, while attempting to free Captain Amazing, they inadvertently set off the Psycho-frakulator, killing him instead. Without Amazing, the team despairs of saving the city, but the Shoveler delivers a pep-talk that succeeds in uniting and inspiring them.
With new-found purpose, they assault the mansion and, by making effective use of their negligible superpowers and Heller's weapons, manage to subdue most of Casanova Frankenstein's henchmen. As the heroes approach Casanova Frankenstein, he reveals that he is holding Mr. Furious' girlfriend Monica hostage, and activates the Psycho-frakulator, which begins to wreak havoc upon the city.
While the team tries to stop the device, Mr. Furious takes on Casanova Frankenstein. After initially taking a beating, Mr. Furious unleashes his inner rage and manages to fight effectively for the first time. He defeats Casanova Frankenstein, who is thrown into the core of the Psycho-frakulator and killed by its reality-bending powers. The rest of the team helps The Bowler use her bowling ball to destroy the device and escape the mansion as it implodes.
The team is interviewed by reporters, begging to know their team name. As they argue among themselves, one reporter states ""Well, whatever you may call them, Champion City will forever owe a debt of gratitude to these 'Mystery Men',"" but the others are too busy arguing to hear it.",39,3.08974358974359
1219,2724,runaway bride,1999,Comedy|Romance,"Maggie Carpenter (Julia Roberts) is a spirited and attractive young woman who has had a number of unsuccessful relationships. Maggie, nervous of being married, has left a trail of fiancés. She's left three men waiting for her at the altar on their wedding day (all of which are caught on tape), receiving tabloid fame and the dubious nickname ""The Runaway Bride"".
Meanwhile, in New York, columnist Homer Eisenhower Graham or ""Ike"" (Richard Gere), writes an article about her that contains several factual errors, supplied to him by a man he meets in a bar who Ike later learns was one of Maggie's former fiancés. Ike is fired for not verifying his source, but is invited to write an in-depth article about Maggie in a bid to restore his reputation. He travels to Hale, Maryland, where he finds Maggie living with her family and on her fourth attempt to become married. The fourth groom-to-be, Bob Kelly (Christopher Meloni), is a local high school football coach who uses sports analogies to help Maggie with her concerns. He constantly makes references to Maggie ""focusing"" on the goal-line in reference to their pending nuptials. As Ike starts going around town to meet her friends, family, and former fiancés, Maggie becomes frustrated and feels he is getting the story wrong again.
Ike begins to cooperate with Maggie on the story, Maggie being interested in getting him to publish the truth, and the two become closer to each other the more time they spend together. During his research for the story, Ike realizes that Maggie is adjusting her interests to mimic those of her fiancés in order to please them. This is signified most prominently by her choice of eggs, which changes with each fiancé. At a pre-wedding celebration for her and Bob, Ike defends Maggie from the public mockery she starts receiving from her family and guests, and Maggie walks outside due to the embarrassment. Ike then confronts Maggie outside about his realization regarding her relationships.
During the wedding rehearsal, Bob tries to quell Maggie's wedding anxieties by walking her down the aisle. Ike is standing in at the altar, playing the groom. After Bob gets her to the altar, Ike and Maggie share a passionate kiss and admit to each other their feelings. Bob is chagrined, becomes jealous and punches Ike in the face before he storms out of the church. In the aftermath, Ike proposes that he and Maggie get married since the wedding is arranged. At the altar, Maggie gets cold feet and flees. Ike pursues her but she hitches a ride away on a FedEx truck.
Later, we see Ike living in New York and Maggie trying to discover herself, trying different types of eggs, and putting her lighting designs up for sale in New York. She shows up unexpectedly at Ike's apartment one night where he finds her making friends with his cat, Italics. Maggie then explains that she had been running because every other guy she was engaged to was only engaged to the idea she had created for them rather than the real her, but with Ike she ran because, even though he truly understood her, she didn't understand herself. She ""turns in"" her running shoes just before proposing to Ike. Ike hides his eyes, but she persists. The two are married in a private ceremony outside, on a hill, avoiding the big ceremonies that Maggie notes she never actually liked. In the end, they are shown riding away on horseback while everyone in Hale and New York (clued in via cell phone by Ike and Maggie's family) celebrates the fact that Maggie finally got married.
A post credit scene shows Maggie and Ike playing in the snow signifying that the relationship is going strong well after the wedding.",42,2.8333333333333335
1230,2746,little shop of horrors,1986,Comedy|Horror|Musical,"A three-girl ""Greek chorus""—Crystal, Ronnette, and Chiffon—introduce the movie, warning the audience that some horror is coming their way (""Prologue: Little Shop of Horrors""). Seymour Krelborn (Rick Moranis) and his colleague, Audrey (Ellen Greene), work at Mushnik's Flower Shop in a run-down, rough neighborhood referred to as ""Skid Row"" in the slums of New York City. They lament that they cannot escape the neighborhood (""Skid Row"" (Downtown)""). Struggling from a lack of customers, Mr. Mushnik (Vincent Gardenia) decides to close the store, but Audrey suggests he may have more success by displaying an unusual plant that Seymour owns. Immediately attracting a customer, Seymour explains he bought the plant, which he dubbed ""Audrey II"", from a Chinese flower shop during a solar eclipse (""Da-Doo""). Attracting business to Mushnik's shop, the plant soon starts dying, worrying Seymour. Accidentally pricking his finger, he then discovers Audrey II needs human blood to thrive (""Grow for Me"").
Seymour takes Audrey II and is interviewed on the radio, and Audrey misses the broadcast due to being ""hand-cuffed a little"" by her sadistic, mean-spirited boyfriend Orin Scrivello (Steve Martin). The three girls suggest Audrey dump Orin and get another man to protect her, like Seymour, but Audrey states she doesn't deserve a nice guy. Despite this, Audrey has feelings for Seymour and secretly dreams of running off with him to the suburbs (""Somewhere That's Green""). Audrey II continues to grow rapidly and Seymour becomes a local celebrity (""Some Fun Now""). Seymour soon attempts to ask Audrey out, but she turns him down because she has a date with her boyfriend, revealed to be a dentist (""Dentist!""). After Seymour closes up shop, Audrey II begins to talk to Seymour, demanding more blood than Seymour can give. The plant proposes that Seymour murder someone in exchange for fame and fortune: Seymour initially refuses, but agrees after witnessing Orin beating Audrey (""Feed Me (Get It)"").
After Orin finishes with his masochistic patient, Arthur Denton (Bill Murray), who requested ""a long, slow, root canal"", Seymour books an appointment with Orin and arms himself with a revolver; however, he cannot bring himself to use it. Orin, who abuses nitrous oxide, puts on a type of venturi mask to receive a constant flow of the gas. Accidentally breaking an intake valve and unable to remove the mask, Orin begs Seymour for help removing it, but Seymour does nothing. When Orin asks Seymour what he ever did to him, Seymour coldly replies, ""Nothing, it's what you did to her."" Orin dies from asphyxiation and Seymour drags his body back to Audrey II. While dismembering the body to feed to the plant, Seymour is unknowingly witnessed by Mushnik, who flees in fear.
After feeding Orin's parts to Audrey II, which has grown to enormous size, Seymour discovers the police investigating Orin's disappearance. Audrey, feeling guilty about wishing Orin would disappear, is comforted by Seymour and the two admit their feelings for each other (""Suddenly, Seymour""). That night, Mushnik confronts Seymour about what he saw and holds Seymour at gunpoint, threatening to report him to the police. Mushnik then changes his mind, saying that since Seymour was ""like a son"" to him, he'll allow Seymour to leave town, blackmailing him into giving the plant to Mushnik. With no choice, Seymour steadily backs him towards the plant, which swallows Mushnik whole (""Suppertime"").
Despite widespread success, Seymour worries about Audrey II's growth and unbridled appetite (""The Meek Shall Inherit""). Offered money and a contract for a botany TV show, Seymour plans to escape Skid Row with Audrey using the money, leaving the plant to starve. After Audrey accepts Seymour's marriage proposal, Audrey II catches Seymour leaving and demands another meal: Seymour agrees, but insists on meat from a butcher. While Seymour is gone, the plant telephones Audrey, coaxes her into the shop, and then tries to eat her. Seymour, returning in time to save Audrey, escapes the store with her. Explaining that he fed the plant to become successful and win Audrey's heart, Seymour discovers she has always loved him. Approached by an executive from a botanical company named Patrick Martin (Jim Belushi), Seymour is offered a contract to breed Audrey II and sell the saplings worldwide. Horrified by the idea, Seymour drives Martin away, and realizes he must destroy Audrey II for the sake of humanity.
Returning to the shop, Seymour learns that Audrey II is actually an alien from outer space (""Mean Green Mother from Outer Space""). Audrey II traps Seymour and destroys the shop, but Seymour grabs an exposed electrical cable and electrocutes Audrey II. Leaving the destroyed shop, Seymour safely reunites with Audrey. The two wed and move to the suburbs: as they arrive at their new home, which is the one seen in Audrey's daydreams, a smiling Audrey II bud can be seen among the flowers in their front yard.
During production, director Oz shot a 23-minute ending based on the off-Broadway musical's ending. However, after audiences at the preview screenings did not react positively to it, the ending had to be rewritten and re-shot for the theatrical release with a ""happier ending.""[3]
In the original ending, when Audrey is attacked by the plant, Seymour pulls her from its jaws but is too late to save her, as she is mortally wounded. As she is dying she tells him what the plant said about Orin and Mushnik, and then Seymour confesses that he fed them to the plant. Audrey requests that Seymour feed her to the plant too so that it will live and Seymour can earn the success he deserves (""Somewhere That's Green (Reprise)""). After fulfilling her dying wish, he attempts suicide by jumping off the roof of a building, only to be stopped by Patrick Martin. Martin offers to reproduce and sell Audrey IIs and has already grown a smaller Audrey II from one of the clippings that he harvested earlier. He also warns Seymour that his consent is not necessary, as plants are considered to be in the public domain. Realizing Audrey II is planning global domination, Seymour climbs down from the roof with the resolution to destroy the plant. Returning to the shop, he confronts and tries to kill Audrey II, who tears down the shop, fishes him from the rubble and eats him alive. The plant then spits out Seymour's glasses and laughs victoriously (""Mean Green Mother from Outer Space)"".
The three chorus girls appear in front of a large American flag and tell how although Audrey II buds became a worldwide consumer craze, the buds grew into an army of monstrous plants who begin to take over the Earth.[4] Giant Audrey II plants are shown destroying cities, toppling buildings, as well as eating people. The United States Army attempts to fight the buds as they ascend the Statue of Liberty and Audrey II eventually bursts through the movie screen and presumably eats the viewers (""Finale (Don't Feed The Plants)"").",39,3.3333333333333335
1237,2770,bowfinger,1999,Comedy,"Z-grade film producer Bobby Bowfinger has saved up to direct a movie for his entire life — he now has $2,184 to pay for production costs. He has a script (""Chubby Rain"") penned by an accountant, Afrim, and a camera operator, Dave, with access to studio-owned equipment. Bowfinger then lines up several actors who are hungry for work, along with a crowd of undocumented Mexican immigrants for a camera crew; the only other thing he needs is access to a studio in order to distribute his masterwork.
He extracts a promise from a film studio executive, Jerry Renfro, that the executive will distribute the film if it includes currently-hot action star Kit Ramsey. Ramsey — a rather pompous, neurotic, and paranoid actor — refuses, so Bowfinger constructs a plan to covertly film all of Ramsey's scenes without his knowledge. The actors, told that Ramsey is method acting and will not be interacting with them outside of their scenes, walk up to Ramsey in public and recite their lines while hidden cameras catch Ramsey's confused reactions.
The plan goes well at first: Ramsey (who is a member of an organization called MindHead) swallows the movie's alien invasion premise and believes he is genuinely being stalked by aliens, resulting in an exceptionally genuine and intense performance. However, the strain on his already-precarious mental state leads him to go into hiding in order to maintain his sanity, stalling the film's production.
Bowfinger resorts to hiring a Ramsey lookalike named Jiff. Jiff is kind, amiable and rather clueless. He even runs through a gauntlet of ""stunt drivers"" racing along a major freeway when asked. During a chat with the other cast members, Jiff mentions that he is Kit Ramsey's brother, explaining the likeness. Using this new knowledge, Bowfinger has Jiff find out Kit Ramsey's movements and the final scene to the film is readied for shooting.
The final scene is at an observatory. Though otherwise pleased with Ramsey's unscripted dialogue, Bowfinger considers his character's final line ""Gotcha suckers!"" to be the key moment of the film, and directs one of the actors to guide Ramsey through the scene under the guise of showing him how to get rid of the aliens. During the filming, Ramsey becomes terrified and struggles to deliver the final line. At this point, Ramsey's mentor at MindHead, Terry Stricter, has discovered evidence that Kit's 'aliens' may not be just in his head. MindHead officials track Bowfinger to the observatory, and shut down production.
Bowfinger's camera crew show him B-roll footage of Ramsey they were filming off-set, just in case they saw anything they could use. The footage shows Ramsey donning a paper bag over his head and exposing himself to an amused Laker Girl Cheerleading Squad, something MindHead specifically discouraged him from doing. Bowfinger uses the footage as blackmail in his negotiations with MindHead to use Ramsey in the film. MindHead advises the star to finish the project. Bowfinger finally gets to sit at the premiere of a film he himself directed, and is awed. Following the arguable success of the film, Bowfinger receives a rare Fed-Ex envelope—an offer to film a martial arts film called ""Fake Purse Ninjas"" starring Bowfinger and Jiff Ramsey.",38,2.960526315789474
1245,2791,airplane!,1980,Comedy,"As a parody film, Airplane! tells its story intermixed between several cut-away scenes, comedic scenes, and visual and running gags.
Ex-fighter pilot Ted Striker (Robert Hays), is a traumatized war veteran turned taxi driver. Due to his pathological fear of flying and ""drinking problem"" (being unable to take a drink without splashing it on his face), he has been unable to hold a responsible job. His wartime girlfriend, Elaine Dickinson (Julie Hagerty), now a flight attendant, leaves him before boarding her assigned flight from Los Angeles to Chicago. Ted drops everything and buys a ticket on the same flight to try to win her back. However, she still continues to reject him during the flight.
After the in-flight meal is served, several of the passengers and the flight crew fall ill, including Captain Oveur (Peter Graves). Passenger Dr. Rumack (Leslie Nielsen) discovers one of the offered courses caused food poisoning. With the flight crew incapacitated, Elaine contacts the Chicago control tower for help, and is instructed by tower supervisor Steve McCroskey (Lloyd Bridges) to activate the plane's autopilot, a large inflatable pilot doll named ""Otto"", which will get them to Chicago, but will not be able to land the plane. Elaine and Dr. Rumack convince Ted to take the controls. When Steve learns that Ted is piloting, he contacts Ted's former commanding officer, Rex Kramer (Robert Stack), now serving as a commercial pilot, so that he can help talk Ted through landing the plane. Ted becomes troubled when Rex starts giving instructions, and briefly stresses out from flashbacks to the war, both Elaine and Dr. Rumack bolster Ted's confidence and he takes the controls under Rex's guidance.
As the plane nears Chicago, the weather becomes harsh, making landing difficult. With Elaine's help as co-pilot and Rex's guidance, Ted is able to land the plane, damaging the landing gear but with only minor injuries to the passengers. Rescue vehicles arrive to help unload the plane. Impressed by Ted's display of courage, Elaine embraces and kisses him, rekindling their relationship. The two watch as ""Otto"" takes control of the plane, inflates a female companion, and takes off.",87,3.8563218390804597
1249,2797,big,1988,Comedy|Drama|Fantasy|Romance," Twelve-year-old Josh Baskin, who lives with his parents and infant sister in Cliffside Park, New Jersey, is told he is too short for a carnival ride called the Ring of Fire, while attempting to impress Cynthia Benson, an older girl. He puts a coin into an unusual antique arcade fortune teller machine called Zoltar Speaks, and makes a wish to be ""big"". It dispenses a card stating ""Your wish is granted"", but Josh is spooked to see it was unplugged the entire time.
The next morning, Josh has been transformed into a 30-year-old man. He tries to find the Zoltar machine, only to see an empty field, the carnival having moved on. Returning home, he tries to explain his predicament to his mother, who refuses to listen and then threatens him, thinking he is a stranger who kidnapped her son. Fleeing from her, he then finds his best friend, Billy Kopecki, and convinces him of his identity by singing a rap that only they know. With Billy's help, he learns that it will take a long time to find the machine, so Josh rents a flophouse room in New York City and gets a job as a data entry clerk at MacMillan Toy Company.
Josh runs into the company's owner, Mr. MacMillan, at FAO Schwarz, and impresses him with his insight into current toys and his childlike enthusiasm. They play a duet on a foot-operated electronic keyboard, performing ""Heart and Soul"" and ""Chopsticks."" This earns Josh a promotion to a dream job: getting paid to test toys as Vice President in charge of Product Development. With his promotion, his larger salary enables him to move into a spacious luxury apartment, which he and Billy fill with toys, a rigged Pepsi vending machine dispensing free drinks, and a pinball machine. He soon attracts the attention of Susan Lawrence, a fellow MacMillan executive. A romance begins to develop, to the annoyance of her ruthless former boyfriend and coworker, Paul Davenport. Josh becomes increasingly entwined in his ""adult"" life by spending time with her, mingling with her friends, and being in a steady relationship. His ideas become valuable assets to MacMillan Toys; however, he begins to forget what it is like to be a child, and he never has time to hang out with his best friend Billy because of his busy schedule.
MacMillan asks Josh to come up with proposals for a new line of toys. He is intimidated by the need to formulate the business aspects of the proposal, but Susan says she will handle the business end while he comes up with ideas. Nonetheless, he feels pressured, and longs for his old life. When he expresses doubts to her and attempts to explain that he is really a child, she interprets this as fear of commitment on his part, and dismisses his explanation.
Josh learns from Billy that the Zoltar machine is now at Sea Point Park. He leaves in the middle of presenting their proposal to MacMillan and other executives. Susan also leaves, and encounters Billy, who tells her where Josh went. At the park, Josh finds the machine, unplugs it and makes a wish to become ""a kid again."" He is then confronted by Susan, who, seeing the machine and the fortune it gave him, realizes he was telling the truth. She becomes despondent at realizing their relationship is over. He tells her she was the one thing about his adult life he wishes would not end and suggests she use the machine to turn herself into a little girl. She declines, saying that being a child once was enough, and takes him home. After sharing an emotional goodbye with Susan, he becomes a child again. He waves goodbye to Susan one last time before reuniting with his family. The film ends with Josh and Billy hanging out together, with the song ""Heart and Soul"" playing over the credits.",91,3.71978021978022
1270,2858,american beauty,1999,Drama|Romance,"Lester Burnham is a middle-aged office worker who despises his job. His wife, Carolyn, is an ambitious real estate broker; their sixteen-year-old daughter, Jane, abhors her parents and has low self-esteem. The Burnhams' new neighbors are retired United States Marine Corps Colonel Frank Fitts and his near-catatonic wife, Barbara. The Fitts' teenage son, Ricky, obsessively films his surroundings with a camcorder, collecting hundreds of recordings on video tapes in his bedroom. He also secretly deals marijuana, using a job as a part-time bar caterer to help keep it secret from his father. Having been previously forced into a military academy and a psychiatric hospital, Ricky is subjected by Col. Fitts to a strict disciplinarian lifestyle. Jim Olmeyer and Jim Berkley, a gay couple who live nearby, welcome the family to the neighborhood; Col. Fitts later reveals his homophobia when angrily discussing the incident with Ricky.
Lester becomes infatuated with Jane's vain cheerleader friend, Angela Hayes, after seeing her perform a half-time dance routine at a high school basketball game. He starts having sexual fantasies about Angela, in which red rose petals are a recurring motif. Carolyn begins an affair with a married business rival, Buddy Kane. Lester is told he is to be laid off, but instead blackmails his boss for $60,000 and quits his job, taking employment serving fast food. He buys his dream car and starts working out after he overhears Angela tell Jane that she would find him sexually attractive if he improved his physique. He begins smoking marijuana supplied by Ricky, and flirts with Angela whenever she visits Jane. The girls' friendship wanes after Jane starts a relationship with Ricky; they bond over what Ricky considers the most beautiful imagery he has ever filmed: a plastic bag being blown in the wind.
Lester discovers Carolyn's infidelity, but reacts indifferently. Buddy ends the affair, fearing an expensive divorce. Col. Fitts becomes suspicious of Lester and Ricky's friendship and later finds his son's footage of a nude Lester lifting weights, which Ricky captured by chance. After watching Ricky and Lester through Lester's garage window, Col. Fitts mistakenly concludes they are sexually involved. He later beats Ricky and accuses him of being gay. Ricky falsely admits the charge and goads his father into expelling him from their home. Carolyn is shown sitting in her car, where she takes a handgun from the glove box. Ricky goes to Jane, finding her arguing with Angela about her flirtation with Lester. Ricky convinces Jane to flee with him to New York City and tells Angela she is boring and ordinary.
Col. Fitts confronts Lester and attempts to kiss him; Lester rebuffs the colonel, who flees. Lester finds a distraught Angela sitting alone in the dark; she asks him to tell her she is beautiful. He does; the pair kiss, but moments before they are about to have sex, Angela admits she is a virgin and Lester decides not to go through with the act. Instead, they talk, and bond over their shared frustrations. Angela goes to the bathroom and Lester smiles at a family photograph in his kitchen. An unseen figure points a gun at the back of Lester's head; a gunshot sounds and blood sprays onto the wall in front of him. Ricky and Jane find Lester's body, while Carolyn is seen crying in the closet. A bloodied Col. Fitts returns home, where a gun is missing from his collection. Lester's closing narration describes meaningful experiences during his life; he says that, despite his death, he is happy because there is so much beauty in the world.",204,4.056372549019608
1288,2890,three kings,1999,Action|Adventure|Comedy|Drama|War,"Following the end of the Persian Gulf War, U.S. soldiers are sent over to clean up loose ends. The soldiers are bored over the lack of action and as a result throw parties at night. Major Archie Gates, a U.S. Army Special Forces soldier, is trading sex for stories with a journalist, Cathy Daitch, when he is interrupted by Adriana Cruz, the television reporter he is assigned to escort.
While disarming and searching an Iraqi officer, U.S. Army Reserve Sergeant First Class Troy Barlow, his best friend Private First Class Conrad Vig, and their unit find a map between the officer's buttocks. Troy goes to Staff Sergeant Chief Elgin to help translate the map. Major Gates appears, after tracking down a lead from Adriana. Archie convinces them that the document is a map of bunkers near Karbala, containing gold bullion stolen from Kuwait, which they decide to steal. To keep Adriana off his back, Gates sends Specialist Walter Wogeman to aid her on a false lead.
They set off the next day and, among other goods plundered from Kuwait, find the gold, and stumble on the interrogation of Amir Abdullah. As they are leaving, Amir's wife pleads with them not to abandon the anti-Saddam dissidents, but she is executed by the Iraqi Republican Guard. The group decides to free the Iraqi prisoners, triggering a firefight. They pull out just as Iraqi reinforcements arrive, and as they try to evade a CS gas attack, they blunder into a minefield and get separated. Iraqi soldiers capture Troy while a group of rebels rescue the other Americans and take them to their underground hideout. There, Conrad, Chief and Archie agree to help the rebels and their families reach the Iranian border, after they rescue Troy.
Troy gets taken back to the bunker, and is thrown in a room full of Kuwaiti cell phones. He manages to call his wife back home and tells her to report his location to his local Army Reserve unit. His call is cut short when he is dragged to an interrogation room where he is interrogated by Iraqi Captain Saïd.
The Americans with the rebels go to a band of Iraqi Army deserters, who are persuaded to sell them luxury cars stolen from Kuwait. The cars are outfitted as Saddam's entourage, in a ruse to scare away the bunker's defenders. After storming the bunker, they free Troy, who spares Saïd, and find more Shi'ite dissidents held in a dungeon. A few of the soldiers who ran away return, and shoot Conrad and Troy. Conrad dies; Troy's lung is punctured, but he survives.
Archie radios Walter and Adriana and arranges transport, while the hapless officers in the camp try to locate the trio after getting the message from Troy's wife. Each of the rebels is given a bar of gold and the rest is buried as they wait for the transport to arrive. The convoy goes to the Iranian border, where the three Americans intend to escort the rebels across to protect them from the Iraqi soldiers guarding the crossing. But the American officers arrive and stop the group, arresting the trio while the rebels are recaptured. Archie offers the buried gold to the American officers in exchange for letting the refugees through. The commanding officer acquiesces to assisting the rebels get into Iran, but still states that charges (of being absent without leave and disobeying orders by contradicting American post-war policy) and courts-martial will be convened against Archie, Troy, and Chief Elgin.
As an epilogue, the film states that the three surviving soldiers (Archie, Troy, and Chief Elgin) are cleared of the charges and honorably discharged, thanks to Adriana's reporting. The epilogue goes on to show that Archie goes to work as a military adviser for Hollywood action films, Chief leaves his airport job to work with Archie, and Troy returns to his wife and baby to run his own carpet store. The stolen gold was returned to Kuwait, which claimed that some was missing, implying that some pilfering of the gold took place.",45,3.7111111111111112
1299,2908,boys don't cry,1999,Drama,"Brandon Teena (Hilary Swank) is a young trans man whose birth name was Teena Renae Brandon.[5] When Brandon is discovered to be transgender by a former girlfriend's brother, he receives death threats. Soon after, he is involved in a bar fight and is evicted from his cousin's trailer. Brandon moves to Falls City, Nebraska, where he befriends ex-convicts John Lotter (Peter Sarsgaard) and Tom Nissen (Brendan Sexton III), and their friends Candace (Alicia Goranson) and Lana Tisdel (Chloë Sevigny). Brandon becomes romantically involved with Lana, who is initially unaware of his troubled past. The two make plans to move to Memphis, where Brandon will manage Lana's karaoke singing career. Eventually, during a date night which ends with them having sex, Lana discovers that Brandon is trans, but continues to be intimate with him.
The police detain Brandon on charges that arose prior to his relocation; they place him in the women's section of the Falls City prison. Lana bails Brandon out and asks why he was placed in a women's prison. Brandon attempts to lie to her, saying he was born a hermaphrodite and will soon receive genital reconstruction surgery ; but Lana stops him, declaring her love for Brandon regardless of his gender. However, while Brandon is in prison, Candace finds a number of documents listing Brandon's birth name, Teena Brandon, and she and her friends react upon these news with shock and disgust. They enter Brandon's room and search among Brandon's things, and discover some transgender literature that confirm their suspicions. Tom and John violently confront Brandon, forcing him to remove his pants and reveal his genitals. They try to make Lana look, but she shields her eyes and turns away. After this confrontation, Tom and John drag Brandon into John's car and drive to an isolated location, where they brutally beat and gang rape him. Afterwards, they take Brandon to Tom's house. Though injured, Brandon escapes through a bathroom window. Although his assailants threaten Brandon and warn him not to report the attack to the police, Lana persuades him to do so. However, the police chief proves to be less concerned with the crime than with Brandon's 'sexual identity crisis'.
Later, John and Tom get drunk and decide to kill Brandon. Lana attempts to stop them, but the pair drive to Candace's remote house where they find Brandon, who has been hiding in a nearby shed. John shoots Brandon under the chin, killing him instantly. Tom shoots Candace in the head as Lana fights with them, begging them to stop. Tom stabs Brandon's lifeless body and tries to shoot Lana but John stops him. John and Tom flee the scene while a crying Lana lies with Brandon's body. The next morning, Lana awakens next to Brandon's corpse. Her mother arrives and takes her away from the scene. As Lana leaves Falls City, a letter Brandon wrote to her is heard in a voiceover.",39,3.551282051282051
1300,2915,risky business,1983,Comedy,"Joel Goodson is a high-achieving high school student who lives with his wealthy parents in the North Shore area of Chicago. His father wants him to attend Princeton University, his alma mater, so Joel participates in Future Enterprisers, an extracurricular activity in which students work in teams to create small businesses. When his parents go away on a trip, Joel's friend, Miles, convinces him to take advantage of his newfound freedom to have some fun. On the first night, he raids the liquor cabinet, plays the stereo loudly, and dances around the living room in his underwear and pink dress shirt to ""Old Time Rock and Roll"". The following day, Miles calls a call girl named Jackie on Joel's behalf. Jackie turns out to be a tall, masculine transvestite. Joel pays Jackie to go away, but before he leaves, he gives Joel the number for Lana, another prostitute. That night, Joel is unable to sleep and hesitantly calls Lana. She turns out to be a gorgeous blonde and they have sex all night.
Lana asks Joel for $300 for her services. He goes to the bank, but when he returns, Lana is gone, along with his mother's expensive Steuben glass egg. Joel finds Lana and demands the egg back, but they are interrupted by Lana's pimp Guido, who pulls a gun. While in his father's Porsche 928, Joel is chased by Guido, but eventually escapes. Lana tells Joel that the egg is with the rest of her stuff at Guido's. Joel lets Lana stay at his house while he goes to school. When he returns, his friends are over, and Lana has invited another prostitute Vicki to stay, but Joel rejects the idea. That night, Joel, Lana, Vicki, and Joel's friend Barry go out. They get stoned, and while Vicky and Barry wander away, Joel and Lana talk. Lana takes exception to something Joel says and leaves. While retrieving her purse from Joel's car, she moves the shifter out of gear. Moments later, the car rolls down the hill and onto a pier, despite Joel's futile attempt to stop it. The pier collapses, dumping the Porsche into Lake Michigan.
When Joel takes the car to a repair shop, he is horrified to learn how much it will cost to fix it. He and Lana later decide to turn his parents' house into a brothel for a night; Joel's share of the profits will pay for the car repairs. The party is a huge success; the house is packed with Joel's friends and classmates and Lana's co-workers. However, the recruiter from Princeton, Rutherford chooses that night to interview Joel for admission to Princeton. The interview is plagued by interruptions, and Rutherford is unimpressed by Joel's resume. Afterwards, he stays at the party and becomes acquainted with Lana's friends. After the party, Joel and Lana go and have sex on the Chicago ""L"".
The next morning, Joel finds his house has been burgled. When he tries to call Lana, Guido answers; he tells Joel that he will let Joel buy back his furniture. Joel and his friends manage to get everything moved back in just as his parents walk in, though his mother notices a crack in her egg. Later, Joel's father congratulates him; the interviewer was very impressed and has indicated Joel will be accepted into Princeton. Joel meets Lana at a restaurant, and they speculate about their future. She tells him that she wants to keep on seeing him; he jokes that it will cost her.
The remastered 25th-anniversary edition offers ""both the upbeat studio ending and Mr. Brickman's original, more tentative and melancholic conclusion"".[2]",42,3.4404761904761907
